序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
1,社團法人台灣愛鄰社區服務協會,2047,愛鄰協會,18478878,臺北市
2,財團法人千佛山慈善基金會,885,千佛山慈善,08246787,臺北市
3,財團法人天主教靈醫會私立聖嘉民啟智中心,57880,聖嘉民啟智,66253259,宜蘭縣
4,財團法人博幼社會福利基金會,131,博幼基金會,14935826,南投縣
5,中華民國無障礙科技發展協會,888,,81598302,
6,財團法人台南市私立天主教瑞復社會福利基金會,52099,美善基金會,36721663,臺南市
7,財團法人雅文兒童聽語文教基金會,889881,雅文基金會,19992108,臺北市
8,財團法人台北市私立雙連視障關懷基金會,520,雙連視障,81599528,臺北市
9,中華民國運動神經元疾病病友協會,621,漸凍人協會,81582505,臺北市
10,財團法人創世社會福利基金會,919,,00969129,臺北市
11,中華民國老人福利推動聯盟,999,老盟,01032260,臺北市
12,財團法人犯罪被害人保護協會,5850,,19326837,臺北市
13,財團法人台灣兒童暨家庭扶助基金會,8585,家扶基金會,52628812,臺北市
14,財團法人伊甸社會福利基金會,25885,伊甸基金會,05200169,臺北市
15,財團法人台北市失親兒福利基金會,88472,,48925889,臺北市
16,台灣少年權益與福利促進聯盟,329580,台少盟,99032503,臺北市
17,財團法人臺灣更生保護會,788595,,04173475,臺北市
18,社團法人宜蘭縣自閉症者福利協進會,1313677,,19320849,宜蘭縣
19,社團法人國際生命線台灣總會,1995,生命線總會,69743528,臺北市
20,財團法人台東基督教醫院,299,東基,93506428,臺東縣
21,財團法人嘉義市私立瑞泰老人長期照護中心,669,瑞泰安養,14296243,嘉義市
22,社團法人高雄市慈善團體聯合總會,3226666,高慈總,76236266,高雄市
23,中華民國腦性麻痺協會,885885,中華腦麻,77126822,臺北市
24,財團法人新北市私立明新兒童發展中心,3769,明新兒發,02344889,新北市
25,財團法人大甲媽社會福利基金會附設臺中縣私立鎮瀾兒童家園,20999,鎮瀾家園,45797827,臺中市
26,台灣寶希望樹兒童協會,288,台灣寶,31886525,臺北市
27,社團法人台灣濟公盲人愛心會,3838,濟盲愛心會,34942803,新北市
28,社團法人新北市照顧生命協會,4987,狗捐血中心,49879032,新北市
29,中華救助總會,5943,救總,03707402,臺北市
30,財團法人南投縣私立南投仁愛之家,2222151,南投仁家,61609604,南投縣
31,財團法人中華文化社會福利事業基金會,5948,中華社福,04140593,臺北市
32,社團法人屏東縣海青青弘會,909,海青青弘會,13277872,屏東縣
33,社團法人高雄市臻愛天使兒少關懷協會,7931030,臻愛天使,36619843,高雄市
34,社團法人中華漢翔百元扶幼協會,294100,,25455484,臺中市
35,社團法人台灣動物社會研究會,677677,動研會,17874983,新北市
36,財團法人福建更生保護會,4416518,福建更保會,77355676,金門縣
37,台灣狗腳印幸福聯盟,591,狗腳印,39958753,桃園市
38,聲暉協進會,33000,山海屯聲暉,77667299,臺中市
39,社團法人中華民國自閉症總會,1577,自閉症總會,97975230,臺北市
40,財團法人罕見疾病基金會,9527,罕病基金會,19340872,臺北市
41,社團法人桃園縣社區精神復健協會,0885,桃精協,09757110,桃園市
42,社團法人基隆市脊髓損傷者協會,8858,,95926558,基隆市
43,財團法人切膚之愛社會福利慈善事業基金會,9866,切膚之愛,98661882,彰化縣
44,財團法人台北市私立愛愛院,3060493,私立愛愛院,03772402,臺北市
45,台灣動物不再流浪協會,599,MIX,09936183,新北市
46,社團法人台北市晚晴婦女協會,0096,台北晚晴,00969970,臺北市
47,財團法人台灣兒童暨家庭扶助基金會台北市北區分事務所,176176,北區家扶,20082155,臺北市
48,社團法人台南市熱蘭遮失智症協會,5271,熱蘭遮,29451453,臺南市
49,社團法人台灣赤子心過動症協會,9449,赤子心,21726578,臺北市
50,社團法人中華民國照顧服務員專業發展協會,1213,照服專協,34865622,新北市
51,康寧學校財團法人康寧大學,137,康寧大學,42321102,臺北市
52,財團法人嘉義縣私立嘉惠教養院,2390069,嘉惠教養院,29418899,嘉義縣
53,社團法人高雄市向陽自立生活協會,954846,向陽,36954846,高雄市
54,公益慈善會,1234,慈善會,98774422,新竹縣
55,財團法人高雄市私立星星兒社會福利基金會,88772,星星兒,17949823,高雄市
56,財團法人台灣省私立台灣盲人重建院,195185,盲人重建院,34078596,新北市
57,財團法人惠光導盲犬教育基金會,199185,惠光導盲犬,97991914,新北市
58,財團法人台灣癌症基金會,1799,癌症基金會,81581169,臺北市
59,社團法人花蓮縣老人暨家庭關懷協會,5577,老家,29361869,花蓮縣
60,財團法人天主教白永恩神父社會福利基金會,1111111,,18493218,臺北市
61,財團法人圓覺宗智敏慧華金剛上師教育基金會,0123,智敏慧華,76942706,臺北市
62,財團法人李勝賢文教基金會,1314885,,93859359,臺東縣
63,社團法人台灣福氣社區關懷協會,52020,福氣協會,25473292,臺中市
64,社團法人台灣基地協會,1069,基地協會,39880587,臺中市
65,財團法人嘉義縣私立瑞泰社會福利基金會,225225,瑞泰基金會,99205791,嘉義縣
66,財團法人勇源輔大乳癌基金會,10178,勇源輔大,01853441,新北市
67,社團法人新竹市心理衛生協會,5152464,竹心衛協會,99461150,新竹市
68,中華同舟共濟服務社,1970,中華同舟,02900983,新北市
69,財團法人桃園縣私立觀音愛心家園,995,,09682414,桃園市
70,財團法人天主教會嘉義教區,025520,安仁家園,36725844,嘉義縣
71,財團法人屏東縣私立基督教伯大尼之家,90061,伯大尼之家,87879173,屏東縣
72,社團法人屏東縣自閉症協進會,7351024,屏東自閉症,97951531,屏東縣
73,社團法人中華民國向陽關懷協會,777,向陽,25826319,臺南市
74,社團法人中華安得烈慈善協會,786,安得烈慈善,26328803,臺北市
75,財團法人愛盲基金會,5880,愛盲基金會,77124795,臺北市
76,醫療財團法人正德癌症醫療基金會,179,正德醫療,10726220,高雄市
77,社團法人宜蘭縣渡安居女性關懷協會,1011212,,37948484,宜蘭縣
78,財團法人新北市私立鈊象電子社會福利慈善事業基金會,885168,鈊象基金會,37824940,新北市
79,社團法人台灣王荷世界心性教育學會,56789,王荷世界,36866668,臺南市
80,社團法人台北市歐伊寇斯OIKOS社區關懷協會,17247,歐伊寇斯,48885198,臺北市
81,社團法人中華民國哈利路亞社區關懷協會,3377777,哈利路亞,99614326,臺北市
82,社團法人台灣脊髓肌肉萎縮症病友協會,0675,ＳＭＡ協會,21351282,高雄市
83,財團法人亞太心理腫瘤學交流基金會,1029,心腫基金會,02751436,新北市
84,社團法人中華民國合家歡協會,1234567,合家歡協會,48837366,臺北市
85,中華民國海軍退伍軍人協會,9974,退伍軍人,99748063,新北市
86,社團法人雲林縣兒童福利發展協會,5223040,雲兒福,15584805,雲林縣
87,財團法人屏東縣私立迦南身心障礙養護院,7707097,迦南養護院,17017878,屏東縣
88,財團法人靖娟兒童安全文教基金會,515,靖娟基金會,00974798,臺北市
89,社團法人台灣公益團體自律聯盟,1111,公益自律,48688957,臺北市
90,財團法人中華基督教伯特利會總會,8828,長榮養護院,19478828,花蓮縣
91,財團法人桃園縣私立康福智能發展中心,2585,康福中心,29351291,桃園市
92,世界聯合保護動物協會,299299,台中世聯會,98193305,臺中市
93,社團法人宜蘭縣得安家庭關懷協會,94180,得安協會,30112777,宜蘭縣
94,財團法人桃園縣私立丞好家園,3776371,丞好家園,37763710,桃園市
95,社團法人嘉義縣扶緣服務協會,616,扶緣,21664411,嘉義縣
96,岡山大專青年協會,71583,岡大會,74800837,高雄市
97,社團法人嘉義市盲人福利協進會,2291292,嘉義盲協,87672840,嘉義市
98,善護協會,3505,臺中善護,26870397,臺中市
99,財團法人愛家文化事業基金會,27365,愛家基金會,20099450,臺北市
100,財團法人海棠文教基金會,1151,海棠,01031190,臺北市
101,社團法人雲林縣北港身心障礙者福利協會,1229,北港身障,18431229,雲林縣
102,財團法人南投縣私立德安啟智教養院,85717,德安,17718533,南投縣
103,財團法人台灣兒童暨家庭扶助基金會台中市南區分事務所,5584,,52697697,臺中市
104,財團法人台灣兒童暨家庭扶助基金會,8455,台中希望,45601437,臺中市
105,財團法人新竹縣天主教世光教養院,0280928,,02809280,新竹縣
106,社團法人中華基督教福音協進會,51990,福音協進會,77120806,新北市
107,社團法人雲林縣聲暉協進會,630123,雲林聲暉,98193570,雲林縣
108,財團法人台北市基督教勵友中心,101,,04151704,臺北市
109,財團法人介惠社會福利慈善基金會,05178,介惠基金會,01050111,新北市
110,財團法人天主教臺南市私立德蘭啟智中心,2025,德蘭啟智,08437879,臺南市
111,社團法人臺中市山海屯啟智協會,626626,山海屯,05777509,臺中市
112,社團法人台灣伴侶權益推動聯盟,178,伴侶盟,31899351,臺北市
113,社團法人台灣法爾禪修中心學會,82168,法爾學會,26334381,臺北市
114,臺灣第六生態發展協會,169,第六生態,38527721,臺北市
115,社團法人中華民國白玫瑰社會關懷協會,925,白玫瑰協會,31814375,臺北市
116,私立五甲教養院,5259,五甲教養院,17961972,臺南市
117,財團法人臺灣省私立永信社會福利基金會,982,永信社福,56627997,臺中市
118,社團法人中華民國身心障礙聯盟,5252,身心障礙盟,76941592,臺北市
